eva,pc,var,pfr.kgr,psr.kgr,par.kgr,pfa.kgr,psa.kgr,paa.kgr,L de raices.km,dano
5,sano,zutano,0.0666,0.0297,0.0369,0.2284,0.0513,0.1771,2.02109,0
5,sano,zutano,0.0758,0.0327,0.0431,0.1876,0.0696,0.118,1.90183,0
5,sano,zutano,0.088,0.0348,0.0532,0.1412,0.0568,0.0844,1.87268,0
5,sano,zutano,0.0608,0.0293,0.0315,0.1722,0.0655,0.1067,1.3753,0
5,sano,zutano,0.0633,0.0292,0.0341,0.1613,0.0598,0.1015,1.83161,0
5,sano,nabal,0.0604,0.0247,0.0357,0.1232,0.0624,0.0608,3.08758,0
5,sano,nabal,0.0529,0.0302,0.0227,0.0953,0.0717,0.0236,2.48649,0
5,sano,nabal,0.0782,0.0243,0.0539,0.1316,0.0449,0.0867,3.01805,0
5,sano,nabal,0.0878,0.017,0.0708,0.1344,0.0342,0.1002,3.41422,0
5,sano,nabal,0.0672,0.0202,0.047,0.153,0.0322,0.1208,2.63148,0
5,sano,nabal,0.0652,0.0239,0.0413,0.1322,0.0432,0.089,3.65972,0
6,enfermo,antillano,0.0354,0.0169,0.0185,0.0733,0.0487,0.0246,0.64123,0.9
6,enfermo,antillano,0.0221,0.0198,0.0023,0.0393,0.0333,0.006,0.41972,0.95
6,enfermo,antillano,0.016,0.0146,0.0014,0.0298,0.0265,0.0033,0.18578,0.9
6,enfermo,antillano,0.0141,0.0125,0.0016,0.0306,0.0244,0.0062,0.12453,0.85
6,enfermo,antillano,0.0178,0.0153,0.0025,0.0334,0.0276,0.0058,0.24911,0.9
6,enfermo,antillano,0.0221,0.0146,0.0075,0.0336,0.0297,0.0039,0.23789,0.95
6,enfermo,mexicano,0.0973,0.0292,0.0681,0.163,0.0599,0.1031,2.27029,0.35
6,enfermo,mexicano,0.0626,0.0264,0.0362,0.1228,0.049,0.0738,0.88575,0.7
6,enfermo,mexicano,0.0469,0.022,0.0249,0.1421,0.055,0.0871,0.80015,0.4
6,enfermo,mexicano,0.0638,0.0509,0.0129,0.1251,0.0215,0.1036,1.13145,0.3
6,enfermo,mexicano,0.0814,0.0602,0.0212,0.1448,0.0254,0.1194,2.14393,0.15
6,enfermo,mexicano,0.067,0.0477,0.0193,0.1198,0.0266,0.0932,0.68664,0.7
6,enfermo,zutano,0.0872,0.0393,0.0479,0.201,0.1153,0.0857,2.3815,0.25
6,enfermo,zutano,0.0835,0.0361,0.0474,0.1608,0.0846,0.0762,1.97503,0.45
6,enfermo,zutano,0.0818,0.0393,0.0425,0.2383,0.1384,0.0999,2.2781,0.1
6,enfermo,zutano,0.0638,0.0243,0.0395,0.1756,0.0835,0.0921,1.44027,0.2
6,enfermo,zutano,0.0438,0.0249,0.0189,0.1251,0.0775,0.0476,0.50729,0.55
6,enfermo,zutano,0.0675,0.0342,0.0333,0.1573,0.0897,0.0676,1.13346,0.35
6,enfermo,nabal,0.0554,0.0286,0.0268,0.1228,0.0483,0.0745,0.71436,0.5
6,enfermo,nabal,0.038,0.0197,0.0183,0.1127,0.0475,0.0652,0.50151,0.75
6,enfermo,nabal,0.0371,0.0167,0.0204,0.1026,0.0351,0.0675,0.30725,0.95
6,enfermo,nabal,0.0401,0.02,0.0201,0.1069,0.0428,0.0641,0.21751,0.85
6,enfermo,nabal,0.0371,0.0188,0.0183,0.0756,0.0348,0.0408,0.26211,0.95
6,enfermo,nabal,0.0628,0.0269,0.0359,0.1743,0.0697,0.1046,1.04276,0.75
6,sano,antillano,0.0655,0.0318,0.0337,0.1538,0.0661,0.0877,1.45996,0
6,sano,antillano,0.0665,0.0322,0.0343,0.1398,0.0575,0.0823,1.02649,0
6,sano,antillano,0.0751,0.0301,0.045,0.1414,0.052,0.0894,1.02117,0
6,sano,antillano,0.1085,0.0401,0.0684,0.1872,0.0717,0.1155,1.7815,0
6,sano,antillano,0.1162,0.0468,0.0694,0.1542,0.0575,0.0967,1.82424,0
6,sano,antillano,0.0924,0.0383,0.0541,0.1711,0.0675,0.1036,1.83597,0
6,sano,mexicano,0.1007,0.0318,0.0689,0.1071,0.0445,0.0626,3.59843,0
6,sano,mexicano,0.1148,0.0402,0.0746,0.1151,0.0501,0.065,5.18425,0
6,sano,mexicano,0.072,0.0282,0.0438,0.1103,0.0423,0.068,3.34783,0
6,sano,mexicano,0.0972,0.0332,0.064,0.1064,0.0449,0.0615,3.95456,0
6,sano,mexicano,0.073,0.0246,0.0484,0.1018,0.0355,0.0663,2.78985,0
6,sano,mexicano,0.1455,0.0468,0.0987,0.1263,0.0505,0.0758,4.93769,0
6,sano,zutano,0.0855,0.0299,0.0556,0.1635,0.0655,0.098,2.37785,0
6,sano,zutano,0.0961,0.0315,0.0646,0.1363,0.0579,0.0784,2.44908,0
6,sano,zutano,0.0934,0.033,0.0604,0.162,0.0644,0.0976,1.92035,0
6,sano,zutano,0.1172,0.0362,0.081,0.1643,0.0648,0.0995,2.82439,0
6,sano,zutano,0.097,0.0323,0.0647,0.1756,0.0708,0.1048,2.40133,0
6,sano,zutano,0.1115,0.0362,0.0753,0.1515,0.0663,0.0852,2.56744,0
6,sano,nabal,0.0789,0.0377,0.0412,0.1352,0.0545,0.0807,3.81215,0
6,sano,nabal,0.1168,0.0429,0.0739,0.1356,0.0543,0.0813,5.59532,0
6,sano,nabal,0.062,0.0323,0.0297,0.1264,0.0499,0.0765,3.31818,0
6,sano,nabal,0.0529,0.0281,0.0248,0.1125,0.0422,0.0703,2.69736,0
6,sano,nabal,0.0665,0.0351,0.0314,0.1504,0.0585,0.0919,3.02091,0
